country,country_tweet,pain_score
Mexico,"La ansiedad no cede: violencia, deuda y miedo al futuro en muchas familias.",0.74
United States,"People speak about burnout, loneliness, and constant financial pressure.",0.63
Canada,"Isolement, fatigue mentale et peur du déclassement marquent le quotidien.",0.56
Brazil,"Luto e exaustão emocional atravessam comunidades inteiras em silêncio.",0.68
Argentina,"Incertidumbre económica y tristeza acumulada pesan sobre los hogares.",0.66
Chile,"Estrés sostenido y sensación de injusticia social afectan la salud emocional.",0.61
Colombia,"El miedo cotidiano y el duelo no resuelto siguen presentes en muchas regiones.",0.72
Peru,"La precariedad y la angustia por el futuro generan cansancio emocional.",0.64
United Kingdom,"Anxiety, grief, and social fragmentation are common themes in public discourse.",0.59
France,"La fatigue psychique et la colère sociale se mêlent à une peur diffuse.",0.58
Germany,"Viele Menschen sprechen über Erschöpfung, Einsamkeit und anhaltenden Stress.",0.57
Spain,"La soledad no deseada y la incertidumbre laboral profundizan el malestar.",0.6
Italy,"Preoccupazione, stanchezza e senso di vulnerabilità attraversano molte comunità.",0.57
Poland,"Niepewność, lęk i zmęczenie emocjonalne są coraz częściej zgłaszane.",0.55
Ukraine,"Горе, страх і виснаження стали частиною щоденного життя.",0.95
Turkey,"Kaygı, yas ve ekonomik baskı, toplumsal ruh halini derinden etkiliyor.",0.73
Egypt,"الضغط المعيشي والخوف من المستقبل يثقلان الحياة اليومية.",0.71
Nigeria,"Collective stress, insecurity, and grief are repeatedly voiced by communities.",0.79
South Africa,"Persistent inequality and violence-related trauma shape emotional pain.",0.76
Kenya,"Young people describe anxiety, precarity, and loss of trust in institutions.",0.62
Ethiopia,"الخوف والفقدان والإنهاك النفسي تتكرر في كثير من الشهادات.",0.82
India,"तनाव, अनिश्चितता और सामाजिक दबाव मानसिक थकान को बढ़ा रहे हैं।",0.67
Pakistan,"غم, بے یقینی اور معاشی دباؤ نے ذہنی اذیت کو بڑھا دیا ہے۔",0.75
Bangladesh,"চাপ, অনিশ্চয়তা এবং ক্ষতির অনুভূতি অনেকের জীবনে স্থায়ী হয়ে উঠছে।",0.69
China,"焦虑、内卷压力与不确定感，正在持续消耗情绪韧性。",0.58
Japan,"先の見えない不安と孤立感が、静かに日常を蝕んでいる。",0.62
South Korea,"번아웃, 고립감, 미래 불안이 정서적 고통으로 누적되고 있다.",0.61
Indonesia,"Kecemasan, kehilangan, dan tekanan ekonomi membentuk luka emosional kolektif.",0.65
Philippines,"Takot, pagod, at kawalan ng katiyakan ang paulit-ulit na damdamin.",0.66
Australia,"Climate anxiety and cost-of-living stress increasingly dominate emotional narratives.",0.53
New Zealand,"Whānau report grief, fatigue, and a quiet but persistent mental strain.",0.49
